,Poster,Likes_count,Liker
0,CheyenneDancer,4,Amy_Siskind
1,lisajablonsky,3,Amy_Siskind
2,ToRahulRoy,1,Amy_Siskind
3,deploycatattack,3,Amy_Siskind
4,lb229,1,Amy_Siskind
5,IAmJulesWard,3,Amy_Siskind
6,EmilyGorcenski,9,Amy_Siskind
7,mayday20201,1,Amy_Siskind
8,Kojenwa,5,Amy_Siskind
9,DildyDan,1,Amy_Siskind
10,B52Malmet,1,Amy_Siskind
11,143daddyo,1,Amy_Siskind
12,craig_jennette,4,Amy_Siskind
13,s_dute,4,Amy_Siskind
14,Liser975,1,Amy_Siskind
15,affablechap,1,Amy_Siskind
16,JaimieSeaton,1,Amy_Siskind
17,rich29uk,3,Amy_Siskind
18,IAmSophiaNelson,3,Amy_Siskind
