,Poster,Likes_count,Liker
0,IBD_JNielsen,4,CNBCClosingBell
1,cjsheridan22,5,CNBCClosingBell
2,pmvcapital,4,CNBCClosingBell
3,DCoolDog,4,CNBCClosingBell
4,Islandrabbit7,2,CNBCClosingBell
5,NayssMark,3,CNBCClosingBell
6,StifelInst,2,CNBCClosingBell
7,juan_carlos_a,3,CNBCClosingBell
8,dashofinsight,1,CNBCClosingBell
9,IvanTheK,3,CNBCClosingBell
10,Crowens12,1,CNBCClosingBell
11,viralpatel15,1,CNBCClosingBell
12,Wall_St_Wolf_,5,CNBCClosingBell
13,FLAnnPanaggio,1,CNBCClosingBell
14,westseattlemark,4,CNBCClosingBell
15,TonyFratto,1,CNBCClosingBell
16,Stock_Gui,1,CNBCClosingBell
17,BrianBrenberg,1,CNBCClosingBell
18,LizAnnSonders,4,CNBCClosingBell
19,Astro_Mike,5,CNBCClosingBell
