,Poster,Likes_count,Liker
0,emptywheel,5,Faux_Schlmoe
1,KirissieS,3,Faux_Schlmoe
2,marcfs13,4,Faux_Schlmoe
3,ShaunWDSU,2,Faux_Schlmoe
4,jeffwoosley,1,Faux_Schlmoe
5,jaqusique,2,Faux_Schlmoe
6,BBQsnob,16,Faux_Schlmoe
7,Reinlwapo,3,Faux_Schlmoe
8,greggt23,4,Faux_Schlmoe
9,PostOpinions,1,Faux_Schlmoe
10,ianbassin,1,Faux_Schlmoe
11,BaldingsWorld,4,Faux_Schlmoe
12,patty_crawford,5,Faux_Schlmoe
13,HectorLedesmaJr,4,Faux_Schlmoe
14,mydogiscutest,4,Faux_Schlmoe
15,mmjblair,2,Faux_Schlmoe
16,rgoodlaw,3,Faux_Schlmoe
17,thanosthemagad1,4,Faux_Schlmoe
