,Poster,Likes_count,Liker
0,ozgurnevres,4,Kaplanseren
1,onurgozupek,5,Kaplanseren
2,Turkjukov,15,Kaplanseren
3,muratnahcivani,2,Kaplanseren
4,Didem65613180,3,Kaplanseren
5,85390048ccae4d1,3,Kaplanseren
6,BatuOrhanalp,3,Kaplanseren
7,erkancalp,3,Kaplanseren
8,gevrekyan,3,Kaplanseren
9,ugurdumans,1,Kaplanseren
10,abcdefgzwq,3,Kaplanseren
11,yigitmcaglayan,2,Kaplanseren
12,halilbabilli,2,Kaplanseren
13,mertpostif,3,Kaplanseren
14,cakir_rusen,3,Kaplanseren
15,KingGulbag,1,Kaplanseren
16,HerkezbiEscobar,3,Kaplanseren
