,Poster,Likes_count,Liker
0,Jan3106,4,M_Steinbuch
1,TUeHTSC,5,M_Steinbuch
2,TUeindhoven,2,M_Steinbuch
3,lightyear_cars,2,M_Steinbuch
4,MarcLammers,3,M_Steinbuch
5,joepsgb,2,M_Steinbuch
6,AukeHoekstra,1,M_Steinbuch
7,JJorritsma040,2,M_Steinbuch
8,ReneBastiaans,1,M_Steinbuch
9,peterkentie,1,M_Steinbuch
10,Ingrid_Agadara,4,M_Steinbuch
11,NienkeMeijer1,4,M_Steinbuch
12,Fontys,1,M_Steinbuch
13,IO_Eindhoven,4,M_Steinbuch
14,Ergon_040,3,M_Steinbuch
15,BasvanderSijs,5,M_Steinbuch
16,FancyvandeVorst,4,M_Steinbuch
17,MellemAlex,2,M_Steinbuch
18,Sjoerdfromdriel,4,M_Steinbuch
19,Brainportschool,4,M_Steinbuch
