,Poster,Likes_count,Liker
0,NormanChad,2,MattGlantz
1,NateSilver538,16,MattGlantz
2,sugarhousepoker,1,MattGlantz
3,shaundeeb,3,MattGlantz
4,JLlama99,3,MattGlantz
5,strassa2,5,MattGlantz
6,SonyaNotSonya,1,MattGlantz
7,ThePokerBoss,4,MattGlantz
8,golferjosh,2,MattGlantz
9,realcharder30,3,MattGlantz
10,billchenpoker,5,MattGlantz
11,Jeffrey_S_Brian,2,MattGlantz
12,mlpuzan,5,MattGlantz
13,dipthrong,2,MattGlantz
14,JenniferTilly,3,MattGlantz
15,TexDolly,1,MattGlantz
16,RealKidPoker,1,MattGlantz
17,DanOBrienPoker,3,MattGlantz
18,bestindabiz51,2,MattGlantz
