,Poster,Likes_count,Liker
0,RandiRhodes,16,NancyCallan
1,Mimirocah1,7,NancyCallan
2,SethAbramson,2,NancyCallan
3,DavidJollyFL,2,NancyCallan
4,matthewamiller,4,NancyCallan
5,FrankFigliuzzi1,4,NancyCallan
6,kyledcheney,3,NancyCallan
7,funder,3,NancyCallan
8,kylegriffin1,5,NancyCallan
9,HobackSara,1,NancyCallan
10,MikeLevinCA,2,NancyCallan
11,TheRickWilson,5,NancyCallan
12,CREWcrew,5,NancyCallan
13,SenBlumenthal,5,NancyCallan
14,PhilipRucker,3,NancyCallan
15,TheRickyDavila,1,NancyCallan
16,NicolleDWallace,1,NancyCallan
17,chrislhayes,2,NancyCallan
