,Poster,Likes_count,Liker
0,Ocasio2018,4,Pdx_resistance
1,SenJeffMerkley,7,Pdx_resistance
2,Fascism_Today,2,Pdx_resistance
3,PortlandDSA,3,Pdx_resistance
4,elliottyoungpdx,5,Pdx_resistance
5,occupyicesf,5,Pdx_resistance
6,TalbertSwan,1,Pdx_resistance
7,jason_a_w,3,Pdx_resistance
8,davedyk,1,Pdx_resistance
9,livkittykat,4,Pdx_resistance
10,saranimd,4,Pdx_resistance
11,andrewsorg,2,Pdx_resistance
12,samswey,4,Pdx_resistance
13,PZebroski,1,Pdx_resistance
14,ComradeStar,1,Pdx_resistance
15,sarahforpdx,2,Pdx_resistance
16,KBOO,4,Pdx_resistance
17,KatNStevens,3,Pdx_resistance
18,AP,2,Pdx_resistance
