,Poster,Likes_count,Liker
0,Real_DrewButler,7,Riley_Fowler13
1,AlabamaFTBL,1,Riley_Fowler13
2,jordylancaster,8,Riley_Fowler13
3,jessica_grose,4,Riley_Fowler13
4,kpconservative,1,Riley_Fowler13
5,TheAlabamaLogo,2,Riley_Fowler13
6,FilmClickbait,1,Riley_Fowler13
7,redsteeze,1,Riley_Fowler13
8,gbabyflt,4,Riley_Fowler13
9,Frame_io,2,Riley_Fowler13
10,marklevinshow,1,Riley_Fowler13
11,morganisawizard,13,Riley_Fowler13
12,Rschooley,3,Riley_Fowler13
13,conservmillen,4,Riley_Fowler13
14,usnikefootball,4,Riley_Fowler13
15,whitney_munro,4,Riley_Fowler13
