,Poster,Likes_count,Liker
0,marciahmorey,1,Rob_Schofield
1,WhyCourtsMatter,8,Rob_Schofield
2,RavenRavinoff,1,Rob_Schofield
3,Billy_K_Ball,2,Rob_Schofield
4,mtnance,3,Rob_Schofield
5,emergingissues,3,Rob_Schofield
6,Barry_Yeoman,5,Rob_Schofield
7,ACLU_NC,4,Rob_Schofield
8,Fitzsimon,18,Rob_Schofield
9,StephenAtHome,1,Rob_Schofield
10,mel_bough,1,Rob_Schofield
11,KrisNordstrom,2,Rob_Schofield
12,lisasorg,4,Rob_Schofield
13,ezraklein,1,Rob_Schofield
14,WhalerCane,3,Rob_Schofield
15,ECGreaves,4,Rob_Schofield
16,GoNCRichardson,1,Rob_Schofield
