,Poster,Likes_count,Liker
0,gingewalker95,4,RossJAnderson83
1,kevinbridges86,3,RossJAnderson83
2,MoSalah,2,RossJAnderson83
3,HugoLabour,4,RossJAnderson83
4,Siox87,2,RossJAnderson83
5,Simpson1635,2,RossJAnderson83
6,DaleRobertsDR,3,RossJAnderson83
7,dylslam24,4,RossJAnderson83
8,Trappsradio,4,RossJAnderson83
9,ScotlandNT,3,RossJAnderson83
10,AndrewSlaughte1,3,RossJAnderson83
11,JARiiseOfficial,3,RossJAnderson83
12,oranmcauley2,4,RossJAnderson83
13,kis85,2,RossJAnderson83
14,PReina25,3,RossJAnderson83
15,jameshanley5,1,RossJAnderson83
16,TheKopMagazine,3,RossJAnderson83
17,ZeusLFC,4,RossJAnderson83
18,Wetherspoon__UK,2,RossJAnderson83
19,MiguelDelaney,1,RossJAnderson83
