,Poster,Likes_count,Liker
0,aamcnamara,7,ShoshanaFlax
1,BillKristol,1,ShoshanaFlax
2,mingerschlag,5,ShoshanaFlax
3,feministlib,5,ShoshanaFlax
4,BarackObama,1,ShoshanaFlax
5,KateMessner,2,ShoshanaFlax
6,TheRaDR,3,ShoshanaFlax
7,jenshulman,4,ShoshanaFlax
8,RyanT_Higgins,5,ShoshanaFlax
9,MDowdLambert,2,ShoshanaFlax
10,AmyRStern,3,ShoshanaFlax
11,NitaTyndall,4,ShoshanaFlax
12,ryfkah,1,ShoshanaFlax
13,lillielainoff,1,ShoshanaFlax
14,kierstenwhite,3,ShoshanaFlax
15,amithaknight,2,ShoshanaFlax
16,alyankovic,1,ShoshanaFlax
17,justinaireland,1,ShoshanaFlax
18,MelanieFishbane,1,ShoshanaFlax
