,Poster,Likes_count,Liker
0,LilaJaber,5,TECOEnergy
1,SoStrategyFL,2,TECOEnergy
2,Oldsmar,2,TECOEnergy
3,mrsmurder81,5,TECOEnergy
4,WCofFL,4,TECOEnergy
5,SalArmyTampa,2,TECOEnergy
6,gswcf,3,TECOEnergy
7,GiveDayTampaBay,3,TECOEnergy
8,TampaElectric,2,TECOEnergy
9,EngineeringUSF,5,TECOEnergy
10,GunsterLaw,4,TECOEnergy
11,FLWomenInEnergy,5,TECOEnergy
12,HCPS_Sullivan,1,TECOEnergy
13,TECOEnergy,18,TECOEnergy
14,GunsterLobbyist,1,TECOEnergy
15,cindyatmetromin,1,TECOEnergy
16,PBGardensFire,4,TECOEnergy
17,ABC_Tampa,2,TECOEnergy
18,ORUConnect,5,TECOEnergy
