,Poster,Likes_count,Liker
0,rumilb,4,TechnoBuffalo
1,CHRSANNL,4,TechnoBuffalo
2,JustHerrick,7,TechnoBuffalo
3,pennyjul,5,TechnoBuffalo
4,lifeofiraruta,2,TechnoBuffalo
5,SpiderMan_News,1,TechnoBuffalo
6,Dannmace,4,TechnoBuffalo
7,ijustine,5,TechnoBuffalo
8,kpmravena,5,TechnoBuffalo
9,malcomjudd,1,TechnoBuffalo
10,BatmanNewsCom,10,TechnoBuffalo
11,MarekSeth,1,TechnoBuffalo
12,Matt_Tsuen,4,TechnoBuffalo
13,manukris88,4,TechnoBuffalo
14,DeadWords44,2,TechnoBuffalo
15,robertrosenfeld,4,TechnoBuffalo
16,ClubNintendoNA,2,TechnoBuffalo
17,HeyMarkL,2,TechnoBuffalo
