,Poster,Likes_count,Liker
0,RealJamesWoods,3,TeshPunja
1,JackBMontgomery,4,TeshPunja
2,Spivonomist,2,TeshPunja
3,peterjhasson,2,TeshPunja
4,Stop_The_EU,1,TeshPunja
5,CamillaTominey,1,TeshPunja
6,senorrinhatch,3,TeshPunja
7,RedHotSquirrel,1,TeshPunja
8,RealRomfordPele,4,TeshPunja
9,BrutalArsenal,1,TeshPunja
10,AnfieldRd96,3,TeshPunja
11,TheMossadIL,5,TeshPunja
12,piersmorgan,2,TeshPunja
13,IanSluggy40,3,TeshPunja
14,joe_weller_,3,TeshPunja
15,cooperderek,1,TeshPunja
16,SamGyimah,5,TeshPunja
17,SteveBakerHW,2,TeshPunja
18,PrisonPlanet,3,TeshPunja
19,chriskkenny,5,TeshPunja
