,Poster,Likes_count,Liker
0,floris_spronk,1,apvermeulen
1,BM_Visser,1,apvermeulen
2,MartijnTonies,4,apvermeulen
3,MartijnEV,3,apvermeulen
4,PureEnergieNL,2,apvermeulen
5,AnneMelchers,2,apvermeulen
6,eelcobvr,4,apvermeulen
7,Polder_PV,2,apvermeulen
8,GerritHiemstra,4,apvermeulen
9,taa1980,1,apvermeulen
10,ATdeGroot,2,apvermeulen
11,annuitant_1,4,apvermeulen
12,politvidchannel,4,apvermeulen
13,evertkkn,1,apvermeulen
14,ApusNL,3,apvermeulen
15,fokkesukke,2,apvermeulen
16,DSteenhorst,4,apvermeulen
17,RiaenHenk,4,apvermeulen
18,DJMatthijsse,2,apvermeulen
19,adamjpalo,1,apvermeulen
