,Poster,Likes_count,Liker
0,JebBush,4,blandtbom
1,axios,2,blandtbom
2,RAH_NYC,1,blandtbom
3,gtconway3d,4,blandtbom
4,MikePrevost3,3,blandtbom
5,Ocasio2018,14,blandtbom
6,powersj_tx,4,blandtbom
7,JustinTrudeau,2,blandtbom
8,NYinLA2121,3,blandtbom
9,IsaacDovere,4,blandtbom
10,USNavy,4,blandtbom
11,Mr_Martin81,3,blandtbom
12,peterbakernyt,3,blandtbom
13,DoYouEvenLIf,4,blandtbom
14,dog_feelings,4,blandtbom
15,RalphGarman,4,blandtbom
16,jaboukie,4,blandtbom
17,AshaRangappa_,2,blandtbom
18,realDonaldTrFan,2,blandtbom
