,Poster,Likes_count,Liker
0,_sabanaqvi,3,captraman
1,ProblemsInGSTN,1,captraman
2,AkhterH007007,4,captraman
3,Meetasengupta,4,captraman
4,rohini_sgh,2,captraman
5,meiktilan,3,captraman
6,MonkofMaude,1,captraman
7,GodaraAR,5,captraman
8,Capt_PKK,4,captraman
9,ItsSonalForU,5,captraman
10,jony_khatri,2,captraman
11,join2manish,1,captraman
12,EasyGov,2,captraman
13,PreetamHazarika,1,captraman
14,adicrazy,3,captraman
15,ramprasad_c,1,captraman
16,kamaljitsandhu,5,captraman
17,TheDrum,2,captraman
18,RelianceGCS,4,captraman
