,Poster,Likes_count,Liker
0,xforcades2,4,charlie062404
1,thisWhisperWar,1,charlie062404
2,brentconner_,17,charlie062404
3,JLo,1,charlie062404
4,colleenssara,2,charlie062404
5,cmb_happiness,3,charlie062404
6,iamnotlucia,3,charlie062404
7,jordynwoods,2,charlie062404
8,AngelinaManwar1,3,charlie062404
9,AbsolutelyBlake,13,charlie062404
10,pixietangerine,4,charlie062404
11,ColleenB123,2,charlie062404
12,grandexluvs,5,charlie062404
13,msuggyballinger,3,charlie062404
14,its_sarah_r_,2,charlie062404
15,MissRBaller,3,charlie062404
16,DeanRHodson,4,charlie062404
