,Poster,Likes_count,Liker
0,TeamSESH,2,chrisccollins
1,seshcompound,4,chrisccollins
2,Bill_Nye_Tho,5,chrisccollins
3,MarylandMudflap,3,chrisccollins
4,tomsegura,2,chrisccollins
5,RaminNasibov,3,chrisccollins
6,theyeezymafia,3,chrisccollins
7,Tesla,1,chrisccollins
8,chrisdelia,10,chrisccollins
9,kanyewest,5,chrisccollins
10,joerogan,11,chrisccollins
11,SealTeamRiks,4,chrisccollins
12,arvind_gr,3,chrisccollins
13,SkyToffee,3,chrisccollins
14,earlxsweat,5,chrisccollins
15,wonderofscience,1,chrisccollins
16,WorldAndScience,4,chrisccollins
