,Poster,Likes_count,Liker
0,jeff_bw,1,dbongino
1,sumalle1,5,dbongino
2,Sunrise51052,1,dbongino
3,yesnicksearcy,3,dbongino
4,FrankelJeremy,1,dbongino
5,WyattEarpLA,2,dbongino
6,themarketswork,3,dbongino
7,Jon_Henry2,4,dbongino
8,PhoebeBeach,1,dbongino
9,DelMarTruther,4,dbongino
10,HuntsmanAbby,3,dbongino
11,chibbs_1,2,dbongino
12,DailyCaller,7,dbongino
13,KellyannePolls,2,dbongino
14,republicbuzz,5,dbongino
15,katiet121,5,dbongino
16,milkncooks,2,dbongino
17,BuckSexton,3,dbongino
18,LEOjaybo,5,dbongino
