,Poster,Likes_count,Liker
0,lvckystrikes,4,electricbix
1,thynne_sarah,1,electricbix
2,eliobix,2,electricbix
3,en_hahaha,2,electricbix
4,ieuanofficial,2,electricbix
5,breaksforyou,14,electricbix
6,ArianaGrande,4,electricbix
7,fooIsease,3,electricbix
8,luckyjeweI,3,electricbix
9,missyousivan,4,electricbix
10,troyesivan,10,electricbix
11,itsaboutfIowers,1,electricbix
12,RossLynch,4,electricbix
13,bIazedsivan,2,electricbix
14,whippedlovato,4,electricbix
15,stardustmellets,1,electricbix
16,drewphilips_,2,electricbix
17,ieuancardupdate,3,electricbix
