,Poster,Likes_count,Liker
0,J_T_Herman,18,fightfortheftr
1,Gabriel58028907,1,fightfortheftr
2,NancyPelosi,4,fightfortheftr
3,SenDuckworth,1,fightfortheftr
4,fightfortheftr,5,fightfortheftr
5,Nautilusbaja,5,fightfortheftr
6,ConsiderThis1,3,fightfortheftr
7,KamalaHarris,2,fightfortheftr
8,Alyssa_Milano,4,fightfortheftr
9,RepJayapal,4,fightfortheftr
10,RepJoeMorelle,2,fightfortheftr
11,PresenteOrg,1,fightfortheftr
12,RepLloydDoggett,4,fightfortheftr
13,publicknowledge,5,fightfortheftr
14,DFAaction,1,fightfortheftr
15,DaiquiriRyan,5,fightfortheftr
16,FreedmanTeam,5,fightfortheftr
17,RepPeterDeFazio,5,fightfortheftr
