,Poster,Likes_count,Liker
0,pektas42,2,hakki_alkan
1,bilaldemirel3,3,hakki_alkan
2,ofatihsayan,12,hakki_alkan
3,emnctk,2,hakki_alkan
4,yusufbarasi,3,hakki_alkan
5,osmnnyldzz,2,hakki_alkan
6,OnurrBilginn,5,hakki_alkan
7,firmath,5,hakki_alkan
8,FurkannCaglayan,3,hakki_alkan
9,ahmetterdem1,5,hakki_alkan
10,_____realisto,3,hakki_alkan
11,TCGuz,2,hakki_alkan
12,Berat_Kacar,1,hakki_alkan
13,KSeyis,5,hakki_alkan
14,Twiterdem_,4,hakki_alkan
15,fthkpln55,1,hakki_alkan
16,EmrhKaraa,5,hakki_alkan
17,nebicavdar,2,hakki_alkan
18,fersanozdemr,1,hakki_alkan
