,Poster,Likes_count,Liker
0,Deepnaut,5,lennutrajektoor
1,EuromaidanPress,5,lennutrajektoor
2,vasilymaximov,5,lennutrajektoor
3,AricToler,2,lennutrajektoor
4,bopanc,1,lennutrajektoor
5,AbraxasSpa,7,lennutrajektoor
6,Mike_Eckel,5,lennutrajektoor
7,StephenPLundy,2,lennutrajektoor
8,dpjankowski,2,lennutrajektoor
9,nielslesniewski,3,lennutrajektoor
10,JuliaDavisNews,4,lennutrajektoor
11,ESO,2,lennutrajektoor
12,LyapunovS,1,lennutrajektoor
13,MarshallJulius,10,lennutrajektoor
14,UKDefJournal,1,lennutrajektoor
15,TheAvanaut,2,lennutrajektoor
16,netovetz,4,lennutrajektoor
17,EliotHiggins,5,lennutrajektoor
