,Poster,Likes_count,Liker
0,FreelanceAstro,9,mariellevolz
1,LisaLodwick,5,mariellevolz
2,Brodie_Waddell,5,mariellevolz
3,ReaderMeter,4,mariellevolz
4,DigitalNZ,5,mariellevolz
5,compoundchem,3,mariellevolz
6,hadleybeeman,5,mariellevolz
7,drmickp,3,mariellevolz
8,brunowinck,4,mariellevolz
9,jenheemstra,2,mariellevolz
10,DavidBindel,1,mariellevolz
11,krmaher,1,mariellevolz
12,bengoldacre,3,mariellevolz
13,sarah_edo,3,mariellevolz
14,SteveStuWill,3,mariellevolz
15,EdDiveHigherEd,2,mariellevolz
16,InformaticMonad,2,mariellevolz
17,SiobhanLeachman,5,mariellevolz
