,Poster,Likes_count,Liker
0,chrissyshake,1,nailogical
1,smashcoots,4,nailogical
2,thot5000,4,nailogical
3,CoBex_,2,nailogical
4,AnastasiaParkk,5,nailogical
5,madnesslouise,2,nailogical
6,basicallyyoongi,5,nailogical
7,Shoeycpv,5,nailogical
8,AnniLehtonen_,1,nailogical
9,foxglovefemmes,3,nailogical
10,TammyRo31n50n,1,nailogical
11,wajaja1413,3,nailogical
12,Carol_Ann17,5,nailogical
13,AbbyNye2,1,nailogical
14,jonathan_sanfor,4,nailogical
15,unbalancedneon,4,nailogical
16,laurDIY,5,nailogical
17,MajorFluffykins,1,nailogical
18,JennaJulien,1,nailogical
19,princessespeon_,5,nailogical
