,Poster,Likes_count,Liker
0,SpaceX,2,samykamkar
1,colinoflynn,5,samykamkar
2,Foone,13,samykamkar
3,AnnaGHughes,1,samykamkar
4,smsm2sm,5,samykamkar
5,K4D0R,4,samykamkar
6,FreeMemesKids,3,samykamkar
7,FluffSociety,4,samykamkar
8,MachinePix,18,samykamkar
9,KidMograph,2,samykamkar
10,ThingsWork,1,samykamkar
11,binitamshah,3,samykamkar
12,hacks4pancakes,3,samykamkar
13,nanographs,3,samykamkar
14,Cabbibo,2,samykamkar
15,arkorobotics,3,samykamkar
16,jLynx_DarkN3ss,3,samykamkar
17,liamwong,5,samykamkar
