,Poster,Likes_count,Liker
0,ArikeMartins_,5,sledgeyoung
1,theycallmeTUNE,2,sledgeyoung
2,CeeYaNonoise,5,sledgeyoung
3,thepamilerin,1,sledgeyoung
4,FCBayernUS,5,sledgeyoung
5,OmobudeWealth,4,sledgeyoung
6,KingDavid_d1st,3,sledgeyoung
7,iam_Davido,11,sledgeyoung
8,TrinityKiara_,5,sledgeyoung
9,seandreezy01,2,sledgeyoung
10,skweird,5,sledgeyoung
11,TwitterNews,3,sledgeyoung
12,UzorOluwa,4,sledgeyoung
13,JoeliseKwamboka,3,sledgeyoung
14,DrMike_adenuga,5,sledgeyoung
15,emmaikumeh,2,sledgeyoung
16,Olisa__n,1,sledgeyoung
17,Ebubelove,1,sledgeyoung
