,Poster,Likes_count,Liker
0,markkrieger,17,AndrewAMcKnight
1,28delayslater,5,AndrewAMcKnight
2,MHPottinger,5,AndrewAMcKnight
3,elonmusk,162,AndrewAMcKnight
4,AFutureMe,14,AndrewAMcKnight
5,SpaceX,60,AndrewAMcKnight
6,ElonsBrain,34,AndrewAMcKnight
7,kimpaquette,22,AndrewAMcKnight
8,TonyTesla4Life,11,AndrewAMcKnight
9,MariamBakh,1,AndrewAMcKnight
10,zachlawson8,1,AndrewAMcKnight
11,Space_Station,17,AndrewAMcKnight
12,nrwicki,17,AndrewAMcKnight
13,RocketLab,20,AndrewAMcKnight
14,NotJalal,1,AndrewAMcKnight
15,LocklearLydia,8,AndrewAMcKnight
