,Poster,Likes_count,Liker
0,OsmundsenTerje,14,ApexCleanEnergy
1,IRENA,25,ApexCleanEnergy
2,DeSmogBlog,20,ApexCleanEnergy
3,AWEA,10,ApexCleanEnergy
4,BloombergDotOrg,8,ApexCleanEnergy
5,BloombergNEF,22,ApexCleanEnergy
6,Power4All2025,15,ApexCleanEnergy
7,JasonBordoff,33,ApexCleanEnergy
8,e2org,57,ApexCleanEnergy
9,denisepuca,24,ApexCleanEnergy
10,CEAorg,21,ApexCleanEnergy
11,VaCleanEnergy,14,ApexCleanEnergy
12,krorourke,21,ApexCleanEnergy
13,FredKrupp,26,ApexCleanEnergy
14,CGA_Midwest,24,ApexCleanEnergy
15,Lester_MnCEE,18,ApexCleanEnergy
16,FaySchool,19,ApexCleanEnergy
17,chambersinnov8,18,ApexCleanEnergy
18,SenMarkey,14,ApexCleanEnergy
