,Poster,Likes_count,Liker
0,RocketLab,11,AshleyKillip
1,NZStuff,15,AshleyKillip
2,theRocketeerist,25,AshleyKillip
3,LinusTech,14,AshleyKillip
4,SmileSimplify,26,AshleyKillip
5,w00ki33,20,AshleyKillip
6,johnkrausphotos,21,AshleyKillip
7,iangriffin,83,AshleyKillip
8,elonmusk,26,AshleyKillip
9,rocketisfine,18,AshleyKillip
10,PhilipDuncan,17,AshleyKillip
11,SeejoV,20,AshleyKillip
12,ABC,25,AshleyKillip
13,Cruel_Coppinger,17,AshleyKillip
14,SpaceX,10,AshleyKillip
15,MohitBhoite,7,AshleyKillip
16,SaulGrantDrumm,8,AshleyKillip
17,stevesi,5,AshleyKillip
