,Poster,Likes_count,Liker
0,ShuttleAlmanac,3,Astro_Aure
1,EuCROPIS,3,Astro_Aure
2,Alex_Pelarigo,16,Astro_Aure
3,kaofernale,2,Astro_Aure
4,nextspaceflight,5,Astro_Aure
5,Tadomikari30,1,Astro_Aure
6,Sardoche_Lol,4,Astro_Aure
7,TechSpatiales,21,Astro_Aure
8,L3G33K,14,Astro_Aure
9,NASAInSight,5,Astro_Aure
10,Rogozin,4,Astro_Aure
11,GreatScottLab,22,Astro_Aure
12,Space_Station,17,Astro_Aure
13,Mike_Seeley,11,Astro_Aure
14,astropierre,1,Astro_Aure
15,SpaceXUpdates,49,Astro_Aure
16,BepiColombo,4,Astro_Aure
17,katlinegrey,5,Astro_Aure
18,DIMENSION_YT,7,Astro_Aure
19,Matthieu_Prigen,21,Astro_Aure
20,JY_LeGall,3,Astro_Aure
21,plasmarmuse,3,Astro_Aure
22,nicolas_pillet,31,Astro_Aure
23,AnecdotesMaths,25,Astro_Aure
24,Pauline_Delande,55,Astro_Aure
25,astroptere,4,Astro_Aure
26,tjfs13,1,Astro_Aure
27,ClimateCentral,1,Astro_Aure
28,LaureHarel,3,Astro_Aure
29,planet4589,3,Astro_Aure
30,_TomCross_,20,Astro_Aure
31,DJSnM,4,Astro_Aure
32,Peter_J_Beck,5,Astro_Aure
33,Matt_Lowne,5,Astro_Aure
34,LaunchStuff,5,Astro_Aure
35,leplanetolog,5,Astro_Aure
36,DSLauretta,3,Astro_Aure
37,PeterGuggenbach,3,Astro_Aure
38,Corentin_Buti,20,Astro_Aure
39,Bottlaeric,4,Astro_Aure
40,RocketLab,3,Astro_Aure
41,w00ki33,21,Astro_Aure
42,AJ_FI,5,Astro_Aure
43,CowboyDanPaasch,1,Astro_Aure
44,SpaceX,5,Astro_Aure
45,NASASpaceflight,21,Astro_Aure
46,KSC_fr,3,Astro_Aure
47,KerbalSpaceP,5,Astro_Aure
48,Astro_Alex,3,Astro_Aure
49,tuCpakoa,15,Astro_Aure
50,elonmusk,15,Astro_Aure
51,RussianSpaceWeb,2,Astro_Aure
52,elakdawalla,5,Astro_Aure
53,TheFavoritist,1,Astro_Aure
54,Virgin_Orbit,6,Astro_Aure
