,Poster,Likes_count,Liker
0,DaveMilbo,2,AustnNchols
1,KevinMKruse,7,AustnNchols
2,MsgToObserver,5,AustnNchols
3,JohnMullahy,9,AustnNchols
4,Alan_Krueger,5,AustnNchols
5,nickchk,17,AustnNchols
6,mikekofoed,26,AustnNchols
7,chelsea_janes,16,AustnNchols
8,itaisher,17,AustnNchols
9,aaronsojourner,15,AustnNchols
10,nomadj1s,5,AustnNchols
11,TheOnion,20,AustnNchols
12,kareem_carr,25,AustnNchols
13,causalinf,18,AustnNchols
14,djnavarro,9,AustnNchols
15,LiveItLearnItDC,16,AustnNchols
16,ENPancotti,18,AustnNchols
17,agoodmanbacon,18,AustnNchols
18,scottimberman,24,AustnNchols
19,jhaushofer,14,AustnNchols
20,ktumulty,5,AustnNchols
21,StatStas,17,AustnNchols
22,tmorris_mrc,5,AustnNchols
23,smilleralert,1,AustnNchols
24,biggsag,9,AustnNchols
25,clifford_banes,4,AustnNchols
26,brenankeller,1,AustnNchols
27,AshleyRParker,25,AustnNchols
28,SallyLHudson,6,AustnNchols
