,Poster,Likes_count,Liker
0,ush_88,3,AzDaSpaceMonkey
1,LuxMarcus,36,AzDaSpaceMonkey
2,francefootball,28,AzDaSpaceMonkey
3,Truman_Black,5,AzDaSpaceMonkey
4,WORLDSTAR,19,AzDaSpaceMonkey
5,DonHaci,66,AzDaSpaceMonkey
6,KarlreMarks,9,AzDaSpaceMonkey
7,InfiniteSobbing,10,AzDaSpaceMonkey
8,LukeShaw23,1,AzDaSpaceMonkey
9,DamnWideNeck,6,AzDaSpaceMonkey
10,BernieSanders,24,AzDaSpaceMonkey
11,JimCarrey,22,AzDaSpaceMonkey
12,Baghdads0n,24,AzDaSpaceMonkey
13,f4keraz,19,AzDaSpaceMonkey
14,danielstorey85,24,AzDaSpaceMonkey
15,glitterrmom,4,AzDaSpaceMonkey
16,pewdiepie,7,AzDaSpaceMonkey
17,ASRomaEN,2,AzDaSpaceMonkey
18,ABC,17,AzDaSpaceMonkey
19,_Rob_B,35,AzDaSpaceMonkey
20,Sangewya,57,AzDaSpaceMonkey
21,theneedledrop,72,AzDaSpaceMonkey
