,Poster,Likes_count,Liker
0,DCTwining,13,BBCYaldaHakim
1,IanPannell,10,BBCYaldaHakim
2,CatrinNye,12,BBCYaldaHakim
3,marklowen,12,BBCYaldaHakim
4,JaiveerShergill,14,BBCYaldaHakim
5,EAA_Foundation,9,BBCYaldaHakim
6,MasoodKhalili,15,BBCYaldaHakim
7,JulietRieden,16,BBCYaldaHakim
8,SamMcAlister1,7,BBCYaldaHakim
9,DanaPerino,8,BBCYaldaHakim
10,vanceserchuk,41,BBCYaldaHakim
11,NickBryantNY,6,BBCYaldaHakim
12,BDUTT,11,BBCYaldaHakim
13,MujMash,3,BBCYaldaHakim
14,dailybriefing,4,BBCYaldaHakim
15,jeneps,1,BBCYaldaHakim
16,LNajafizada,5,BBCYaldaHakim
17,AUAfghanistan,1,BBCYaldaHakim
18,MalaliBashir,2,BBCYaldaHakim
