,Poster,Likes_count,Liker
0,StephenKing,39,BereniceJBaker
1,spotlightstat,56,BereniceJBaker
2,rey_z,37,BereniceJBaker
3,Number10cat,61,BereniceJBaker
4,youngvulgarian,33,BereniceJBaker
5,jp__casey,43,BereniceJBaker
6,filleboheme,5,BereniceJBaker
7,bdgrabinski,39,BereniceJBaker
8,Beathhigh,50,BereniceJBaker
9,sueperkins,8,BereniceJBaker
10,EmmaKennedy,19,BereniceJBaker
11,s8n,6,BereniceJBaker
12,Aiannucci,8,BereniceJBaker
13,jameelajamil,20,BereniceJBaker
14,amateuradam,35,BereniceJBaker
15,TomChivers,39,BereniceJBaker
16,gracepetrie,7,BereniceJBaker
17,TalalHusseini92,20,BereniceJBaker
18,VerdictUK,25,BereniceJBaker
19,whatisaletter,16,BereniceJBaker
20,TheSimonEvans,1,BereniceJBaker
21,RobertScammell,26,BereniceJBaker
22,Mr_JDTraynor,18,BereniceJBaker
23,caitlinmoran,7,BereniceJBaker
24,ianbrannan,3,BereniceJBaker
25,katrussen,19,BereniceJBaker
26,MartinSLewis,32,BereniceJBaker
27,almazleaper,13,BereniceJBaker
