,Poster,Likes_count,Liker
0,garland_conor,15,BigJaso71
1,melbourne88,8,BigJaso71
2,tirnaog09,12,BigJaso71
3,returno75873420,6,BigJaso71
4,ScotlandsUnico1,8,BigJaso71
5,AgentScotland,7,BigJaso71
6,delbhoy007,13,BigJaso71
7,JBLuvsCeltic,19,BigJaso71
8,McLaughlin_1888,2,BigJaso71
9,huddleboard,3,BigJaso71
10,WhatTheFFacts,5,BigJaso71
11,CelticFCSLO,8,BigJaso71
12,OlivierNtcham,8,BigJaso71
13,letsdothehuddle,13,BigJaso71
14,AlloaStats,2,BigJaso71
15,ShineMyGold,5,BigJaso71
16,jennaezarik,2,BigJaso71
17,Cris_GamboaCR,3,BigJaso71
18,CelticFC,2,BigJaso71
19,bobservant,3,BigJaso71
20,JimSpenceSport,5,BigJaso71
21,mlcoolj1,4,BigJaso71
22,amymcfadden1888,2,BigJaso71
23,chris_sutton73,5,BigJaso71
24,nyceltic,2,BigJaso71
