,Poster,Likes_count,Liker
0,wineandfoodblog,25,BigRockBrewery
1,BarnOwlMalt,4,BigRockBrewery
2,Crazy8sFilm,16,BigRockBrewery
3,TheBeerMaven,9,BigRockBrewery
4,PeoplesPintTO,15,BigRockBrewery
5,tweetsinpajamas,9,BigRockBrewery
6,CraftBrewersYYC,34,BigRockBrewery
7,MikiSchmiki,19,BigRockBrewery
8,markfrison,8,BigRockBrewery
9,RichardLittle12,14,BigRockBrewery
10,kishmotron,3,BigRockBrewery
11,CanadianBeerRun,11,BigRockBrewery
12,vcinbc,9,BigRockBrewery
13,BeerGuysYYC,16,BigRockBrewery
14,BearsandPandas,18,BigRockBrewery
15,TerryAndryo,10,BigRockBrewery
16,matttomic,14,BigRockBrewery
17,rolling_hops,6,BigRockBrewery
