,Poster,Likes_count,Liker
0,jokeroonie1101,2,Bittoeat
1,SbBarclay,15,Bittoeat
2,donaeldunready,4,Bittoeat
3,MrMalky,2,Bittoeat
4,carolecadwalla,2,Bittoeat
5,EwanHunter,4,Bittoeat
6,wgsaraband,4,Bittoeat
7,kwr66,5,Bittoeat
8,PeterGrantMP,8,Bittoeat
9,Bluesprints,2,Bittoeat
10,SKZCartoons,2,Bittoeat
11,janinecalderba1,4,Bittoeat
12,Tommoriarty16,5,Bittoeat
13,Ross_Greer,2,Bittoeat
14,dtaylor5633,3,Bittoeat
15,WilliamJBarrett,5,Bittoeat
16,JimMFelton,4,Bittoeat
17,PeteWishart,1,Bittoeat
18,Fankledoose,2,Bittoeat
19,IndyrefTWO,33,Bittoeat
20,WingsScotland,2,Bittoeat
21,BootstrapCook,5,Bittoeat
22,AngusRobertson,1,Bittoeat
23,SaorAlba59,3,Bittoeat
24,ronague,1,Bittoeat
25,ChukaUmunna,5,Bittoeat
26,Stephen_SNP,1,Bittoeat
27,banalyst,4,Bittoeat
28,MHRMort,2,Bittoeat
29,GlennBBC,5,Bittoeat
30,DW80000,4,Bittoeat
31,BernieSanders,4,Bittoeat
32,lumi_1984,3,Bittoeat
33,Fergoodness,5,Bittoeat
34,BrechinYes2,2,Bittoeat
35,NotAMayBot,2,Bittoeat
36,kuantancurls,2,Bittoeat
37,suleskerry,5,Bittoeat
38,Hepworthclare,2,Bittoeat
39,JamesKelly,1,Bittoeat
40,ChildOfAlba,1,Bittoeat
41,ronniecowan,4,Bittoeat
42,TheScotsman,1,Bittoeat
43,alanferrier,9,Bittoeat
44,billykayscot,3,Bittoeat
45,shahmiruk,5,Bittoeat
46,Feorlean,22,Bittoeat
47,Williamgallus,4,Bittoeat
48,StFilansDream,4,Bittoeat
49,PoliticsScot,2,Bittoeat
50,philburns,4,Bittoeat
