,Poster,Likes_count,Liker
0,infosecmo,1,BrianHonan
1,ClaireMacNamee,3,BrianHonan
2,swardley,1,BrianHonan
3,jack_daniel,5,BrianHonan
4,SteveD3,1,BrianHonan
5,cybercentre_ca,2,BrianHonan
6,mathewjschwartz,12,BrianHonan
7,charlesarthur,1,BrianHonan
8,Janet_LegReg,3,BrianHonan
9,wendynather,4,BrianHonan
10,bobmcardle,3,BrianHonan
11,enisa_eu,5,BrianHonan
12,DanRaywood,5,BrianHonan
13,ITSPmagazine,2,BrianHonan
14,HavenLabs,2,BrianHonan
15,BorgstromAnna,4,BrianHonan
16,DPCIreland,1,BrianHonan
17,NakedSecurity,3,BrianHonan
18,PaulDCawley,1,BrianHonan
