,Poster,Likes_count,Liker
0,maciekkotowicz,29,CERT_Polska_en
1,sissden,31,CERT_Polska_en
2,MalwareSecrets,25,CERT_Polska_en
3,JAMESWT_MHT,28,CERT_Polska_en
4,BrianHonan,8,CERT_Polska_en
5,virusbtn,42,CERT_Polska_en
6,malwrhunterteam,40,CERT_Polska_en
7,apwg_eu,24,CERT_Polska_en
8,VK_Intel,31,CERT_Polska_en
9,MsmCode,67,CERT_Polska_en
10,GossiTheDog,29,CERT_Polska_en
11,davideariu,21,CERT_Polska_en
12,SWITCH_ch,18,CERT_Polska_en
13,Raj_Samani,26,CERT_Polska_en
14,demonslay335,30,CERT_Polska_en
15,enisa_eu,26,CERT_Polska_en
16,campuscodi,17,CERT_Polska_en
