,Poster,Likes_count,Liker
0,Jorge90015553,15,Censor
1,RaamseyCoD,33,Censor
2,masonwolford1,10,Censor
3,hastr0,5,Censor
4,SleightBlade,15,Censor
5,OpTic_Crimsix,3,Censor
6,TylerTeeP,2,Censor
7,Oscaaaaarrr,14,Censor
8,hethenn,1,Censor
9,Teeqo,13,Censor
10,Vizohs,4,Censor
11,FaZeRug,4,Censor
12,SlumpGodJ,30,Censor
13,Oelmheim1991,15,Censor
14,lozano_145,26,Censor
15,Landonl115,22,Censor
16,Nadeshot,19,Censor
17,pichfork909,2,Censor
18,stephenasmith,5,Censor
19,TriVec_Ellusive,32,Censor
20,EazyDuzItYT,32,Censor
21,Baseballgear7,23,Censor
22,Hazz,1,Censor
23,SeboPB,5,Censor
24,Attach,3,Censor
25,Ballin4Denver,3,Censor
26,OMGitsAliA,3,Censor
27,JBoshy_,29,Censor
28,Hanns_zevallos,7,Censor
29,pewdiepie,28,Censor
30,LoganPaul,3,Censor
31,FaZeNikan,3,Censor
32,ZooMaa,3,Censor
33,iAmBaine_,24,Censor
34,JimmyTatro,4,Censor
35,Ryan_Alan_Jones,32,Censor
36,JamesCrowder,2,Censor
37,itzRolexz,21,Censor
38,idrinkmilk4fun,21,Censor
39,OpTic_Scumper,19,Censor
40,xBrBx,14,Censor
41,BORICUA_BRYAN,12,Censor
42,TeamJuJu,3,Censor
