,Poster,Likes_count,Liker
0,Ledtech3,37,CiscoSecurity
1,SvenKutzer,41,CiscoSecurity
2,jessicambair,55,CiscoSecurity
3,TheRoutingTable,50,CiscoSecurity
4,BYOSradio,65,CiscoSecurity
5,joltsik,52,CiscoSecurity
6,Ojoksft,61,CiscoSecurity
7,AaronWoland,65,CiscoSecurity
8,CiscoUmbrella,101,CiscoSecurity
9,IBMSecurity,33,CiscoSecurity
10,CiscoSecurity,58,CiscoSecurity
11,chrisrosa,60,CiscoSecurity
12,richusalam,57,CiscoSecurity
13,esg_global,31,CiscoSecurity
14,Xinhulian,51,CiscoSecurity
15,jeffreed415,39,CiscoSecurity
16,HakemonMike,49,CiscoSecurity
17,Cisco,79,CiscoSecurity
