,Poster,Likes_count,Liker
0,Attaboy_BLR,16,DSCI_Connect
1,mfuloria,16,DSCI_Connect
2,dnifHQ,31,DSCI_Connect
3,pritivandana,39,DSCI_Connect
4,nullcon,28,DSCI_Connect
5,USIBC,73,DSCI_Connect
6,DSCI_Connect,151,DSCI_Connect
7,parkeraim,45,DSCI_Connect
8,NASSCOMfdn,10,DSCI_Connect
9,nasscom,7,DSCI_Connect
10,Checkmarx,58,DSCI_Connect
11,PrivacyMatters,8,DSCI_Connect
12,CyberTaters,32,DSCI_Connect
13,wisdom_stoic,9,DSCI_Connect
14,sakshi21496,11,DSCI_Connect
15,kvangaveti,10,DSCI_Connect
16,yours_rajdeep,18,DSCI_Connect
17,apargupta84,19,DSCI_Connect
18,albertodifelice,6,DSCI_Connect
