,Poster,Likes_count,Liker
0,b_h_payne,19,DaveDiCello
1,DanaCmgc,14,DaveDiCello
2,theONEchristine,25,DaveDiCello
3,jkissel9,1,DaveDiCello
4,RasuShrestha,1,DaveDiCello
5,RudyLeon,14,DaveDiCello
6,BurghFeeder,20,DaveDiCello
7,tayburgh7,28,DaveDiCello
8,agray8090,24,DaveDiCello
9,pittsburghRN,16,DaveDiCello
10,fsmikey,4,DaveDiCello
11,a_rom21,2,DaveDiCello
12,sheetz,9,DaveDiCello
13,PeteBlackburn,10,DaveDiCello
14,Wheelman732,5,DaveDiCello
15,NHLPuckBunny,1,DaveDiCello
16,bobgrove91,5,DaveDiCello
17,espn,9,DaveDiCello
18,redhead15014,5,DaveDiCello
19,Left_Side_Drive,24,DaveDiCello
20,JamesSantelli,12,DaveDiCello
21,vic_sorrentino,1,DaveDiCello
22,coachbret14,6,DaveDiCello
23,kelseyal12,25,DaveDiCello
24,HannahW16515,2,DaveDiCello
25,jkmreidy,5,DaveDiCello
26,Kennywood_PR,3,DaveDiCello
27,Margo221,27,DaveDiCello
28,JanePitt,17,DaveDiCello
29,I_Dig_Hockey,3,DaveDiCello
30,buckylarue,18,DaveDiCello
31,Nikolekost,12,DaveDiCello
32,Josh05255195,27,DaveDiCello
33,JoeyT1787,20,DaveDiCello
34,moshinMN,8,DaveDiCello
35,Brian_Metzer,5,DaveDiCello
36,Keljo1991,12,DaveDiCello
37,keith81buchanan,20,DaveDiCello
38,zapirk,2,DaveDiCello
39,keithmontesano,29,DaveDiCello
40,jake_58_pens,5,DaveDiCello
41,dbt8819,16,DaveDiCello
42,TurnersPremiumT,29,DaveDiCello
