,Poster,Likes_count,Liker
0,GlennHamer,69,DesTechAZ
1,MaureenSalloom,66,DesTechAZ
2,laurapbutler,52,DesTechAZ
3,oficialdenissa,43,DesTechAZ
4,gracesosullivan,50,DesTechAZ
5,KoryRaftery7,57,DesTechAZ
6,eMergeAmericas,48,DesTechAZ
7,TheWozU,48,DesTechAZ
8,PhxBizHayley,37,DesTechAZ
9,ccarterinc,47,DesTechAZ
10,DrPanch,46,DesTechAZ
11,AforArizona,42,DesTechAZ
12,LiL_Momma05,55,DesTechAZ
13,azcommerce,98,DesTechAZ
14,jaredstauffer,87,DesTechAZ
15,amortemore,44,DesTechAZ
16,VanessaRuizNews,62,DesTechAZ
17,kashthefuturist,52,DesTechAZ
