,Poster,Likes_count,Liker
0,JamesTorrezNews,104,EPB_Chattanooga
1,FillauerCo,26,EPB_Chattanooga
2,broadbandtrends,22,EPB_Chattanooga
3,Nmpatters,38,EPB_Chattanooga
4,TA_FutureReady,68,EPB_Chattanooga
5,alnarraTweets,11,EPB_Chattanooga
6,TimesFreePress,3,EPB_Chattanooga
7,ChattanoogaGig,83,EPB_Chattanooga
8,joshloper,5,EPB_Chattanooga
9,ChattAirport,43,EPB_Chattanooga
10,AdrienneRoyer,40,EPB_Chattanooga
11,TristarAdventur,10,EPB_Chattanooga
12,TVAnews,59,EPB_Chattanooga
13,HamCoTNGov,44,EPB_Chattanooga
14,STEMFabLab,17,EPB_Chattanooga
15,dale_3d,42,EPB_Chattanooga
16,ChattanoogaDSS,30,EPB_Chattanooga
17,Ceshoop,27,EPB_Chattanooga
18,HCDE_arts,29,EPB_Chattanooga
19,NextCentCit,32,EPB_Chattanooga
