,Poster,Likes_count,Liker
0,JakeLowary,24,ElainaSauber
1,JakeJarvisWV,45,ElainaSauber
2,Enquirer,15,ElainaSauber
3,HeidiHallTN,33,ElainaSauber
4,JenniferDonnals,10,ElainaSauber
5,CaitlinJStout,56,ElainaSauber
6,scavendish,55,ElainaSauber
7,natalie_allison,39,ElainaSauber
8,3littleredbones,3,ElainaSauber
9,Ocasio2018,37,ElainaSauber
10,MsgToObserver,30,ElainaSauber
11,Ptsbrian,46,ElainaSauber
12,Theotropho,43,ElainaSauber
13,ameliaknisely,46,ElainaSauber
14,anna_gallegos,16,ElainaSauber
15,ChrissySuttles,35,ElainaSauber
16,schelzig,51,ElainaSauber
17,MichelleGhsoub,53,ElainaSauber
18,ditzkoff,56,ElainaSauber
19,resentfultweet,45,ElainaSauber
20,MackenzieMays,19,ElainaSauber
21,3hollowredbones,21,ElainaSauber
22,carrieblazina,62,ElainaSauber
23,onesarahjones,41,ElainaSauber
