,Poster,Likes_count,Liker
0,MaajidNawaz,19,ElmlingerLiz
1,Nigella_Lawson,30,ElmlingerLiz
2,YouHadOneJ0B,24,ElmlingerLiz
3,Halalcoholism,18,ElmlingerLiz
4,PagliaQuotes,54,ElmlingerLiz
5,IonaItalia,20,ElmlingerLiz
6,99red__balloons,20,ElmlingerLiz
7,ShankLizzy,12,ElmlingerLiz
8,Hitch_Slapping,18,ElmlingerLiz
9,G_S_Bhogal,11,ElmlingerLiz
10,theousherwood,17,ElmlingerLiz
11,mcposwusnr,27,ElmlingerLiz
12,adamlambert,19,ElmlingerLiz
13,RubinReport,18,ElmlingerLiz
14,Scottludlam,23,ElmlingerLiz
15,EricRWeinstein,93,ElmlingerLiz
