,Poster,Likes_count,Liker
0,edelkrone,37,EnviroNews
1,wildearthguard,35,EnviroNews
2,MKaltofen,27,EnviroNews
3,EnviroNews,93,EnviroNews
4,Zardoz2morrow,43,EnviroNews
5,EnviroNews_CO,30,EnviroNews
6,SavingPlaces,35,EnviroNews
7,EnviroNewsUSA,38,EnviroNews
8,weweia,45,EnviroNews
9,EnviroNews_WY,26,EnviroNews
10,EnviroNews_DC,50,EnviroNews
11,EnviroWorldNews,37,EnviroNews
12,JoshSchlossberg,31,EnviroNews
13,kenradio,30,EnviroNews
14,Enviro_Nature,31,EnviroNews
15,Zacuto,33,EnviroNews
16,westernlaw,65,EnviroNews
