,Poster,Likes_count,Liker
0,Monobehaviour,6,Fila_Elias
1,_Tony_Nguyen_,23,Fila_Elias
2,dbrand,3,Fila_Elias
3,jakkuh_t,14,Fila_Elias
4,ondrejfilip,4,Fila_Elias
5,VGFGamers,4,Fila_Elias
6,fs0c131y,192,Fila_Elias
7,oneplus,2,Fila_Elias
8,btnpresser,7,Fila_Elias
9,WeTheDan,29,Fila_Elias
10,teddyfresh,20,Fila_Elias
11,markgurman,1,Fila_Elias
12,SnazzyQ,27,Fila_Elias
13,zrzkaodvedle,17,Fila_Elias
14,dennyishung,10,Fila_Elias
15,MKBHD,83,Fila_Elias
16,mantos,3,Fila_Elias
17,h3h3productions,77,Fila_Elias
18,dotekomanie,7,Fila_Elias
19,Waltersteve103,8,Fila_Elias
20,PJDreamsASMR,2,Fila_Elias
21,chivlr,13,Fila_Elias
22,pewdiepie,77,Fila_Elias
23,madebygoogle,12,Fila_Elias
24,computer_zive,25,Fila_Elias
25,realGETrump,5,Fila_Elias
26,SymonKaguru,4,Fila_Elias
27,TVHovna,2,Fila_Elias
28,realDonaldTrump,1,Fila_Elias
29,R_A_J_A_T1,2,Fila_Elias
30,pcgamer,4,Fila_Elias
31,Jack_Septic_Eye,5,Fila_Elias
32,LinusTech,70,Fila_Elias
33,richie_0316,4,Fila_Elias
34,fridman_simon,4,Fila_Elias
35,ijustine,29,Fila_Elias
36,FrankieIpp,29,Fila_Elias
37,SolusProject,17,Fila_Elias
38,topjohnwu,4,Fila_Elias
39,IGN,4,Fila_Elias
40,DanielVavra,1,Fila_Elias
41,notch,19,Fila_Elias
42,UnknownPCMR,18,Fila_Elias
43,NVIDIAGeForce,19,Fila_Elias
