,Poster,Likes_count,Liker
0,olgaNYC1211,5,GODZILLASLAYS65
1,PreetBharara,6,GODZILLASLAYS65
2,RepSwalwell,9,GODZILLASLAYS65
3,CarolLeonnig,3,GODZILLASLAYS65
4,dodo,28,GODZILLASLAYS65
5,tribelaw,1,GODZILLASLAYS65
6,JimCarrey,3,GODZILLASLAYS65
7,LunaLuvgood2017,19,GODZILLASLAYS65
8,KevasRobert,2,GODZILLASLAYS65
9,fred_guttenberg,5,GODZILLASLAYS65
10,chrisgeidner,6,GODZILLASLAYS65
11,RedTRaccoon,4,GODZILLASLAYS65
12,realdebfarmer,5,GODZILLASLAYS65
13,MalcolmNance,10,GODZILLASLAYS65
14,starsandstripes,15,GODZILLASLAYS65
15,GeorgeTakei,1,GODZILLASLAYS65
16,CaptainsLogAz,4,GODZILLASLAYS65
17,TheRickWilson,2,GODZILLASLAYS65
18,postcards4USA,4,GODZILLASLAYS65
19,DavidCornDC,5,GODZILLASLAYS65
20,AshaRangappa_,2,GODZILLASLAYS65
21,chswx,1,GODZILLASLAYS65
22,GamesRadar,5,GODZILLASLAYS65
23,OMGno2trump,5,GODZILLASLAYS65
24,ndrew_lawrence,4,GODZILLASLAYS65
25,Free_Media_Hub,5,GODZILLASLAYS65
26,BrandonUpson,4,GODZILLASLAYS65
27,kylegriffin1,30,GODZILLASLAYS65
28,RWPUSA,5,GODZILLASLAYS65
29,Evan_McMullin,5,GODZILLASLAYS65
30,nowthisnews,2,GODZILLASLAYS65
31,Billbrowder,5,GODZILLASLAYS65
32,severeweatherEU,3,GODZILLASLAYS65
33,tedlieu,27,GODZILLASLAYS65
34,BrianKarem,4,GODZILLASLAYS65
35,thedailybeast,4,GODZILLASLAYS65
36,_SJPeace_,3,GODZILLASLAYS65
37,jbview,1,GODZILLASLAYS65
38,SethAbramson,31,GODZILLASLAYS65
39,joshscampbell,4,GODZILLASLAYS65
40,psychdr100,3,GODZILLASLAYS65
41,jimlvy,2,GODZILLASLAYS65
42,perlmutations,5,GODZILLASLAYS65
43,morethanmySLE,16,GODZILLASLAYS65
44,CREWcrew,1,GODZILLASLAYS65
45,kathygriffin,4,GODZILLASLAYS65
46,VABVOX,1,GODZILLASLAYS65
47,acupoker,2,GODZILLASLAYS65
48,BillKristol,2,GODZILLASLAYS65
49,stucam7771,11,GODZILLASLAYS65
50,Lawrence,4,GODZILLASLAYS65
51,chrislhayes,11,GODZILLASLAYS65
52,HillaryClinton,1,GODZILLASLAYS65
53,Tom_Winter,3,GODZILLASLAYS65
54,Gizmodo,4,GODZILLASLAYS65
55,Comey,4,GODZILLASLAYS65
56,fawfulfan,1,GODZILLASLAYS65
57,bjcreigh,5,GODZILLASLAYS65
58,AriMelber,17,GODZILLASLAYS65
59,Kris_Sacrebleu,5,GODZILLASLAYS65
60,UROCKlive1,14,GODZILLASLAYS65
61,RepAdamSchiff,5,GODZILLASLAYS65
62,matthewamiller,3,GODZILLASLAYS65
63,renato_mariotti,6,GODZILLASLAYS65
64,maddow,4,GODZILLASLAYS65
65,StevenBeschloss,19,GODZILLASLAYS65
66,peterdaou,4,GODZILLASLAYS65
67,NYPDnews,3,GODZILLASLAYS65
68,ThePlumLineGS,3,GODZILLASLAYS65
69,selectedwisdom,29,GODZILLASLAYS65
70,Amy_Siskind,2,GODZILLASLAYS65
