,Poster,Likes_count,Liker
0,georgegalloway,2,GaryLineker
1,bghayward,13,GaryLineker
2,shaunwkeaveny,17,GaryLineker
3,BassTunedToRed,6,GaryLineker
4,audleyharrison,6,GaryLineker
5,IanWright0,8,GaryLineker
6,DowneyJD,17,GaryLineker
7,Spurs_ES,8,GaryLineker
8,UNILADFooty,13,GaryLineker
9,fifaworldcup_fr,4,GaryLineker
10,FootyAccums,15,GaryLineker
11,Spurs_India,4,GaryLineker
12,LCFC,10,GaryLineker
13,BBCMOTD,13,GaryLineker
14,theSandiBogle,10,GaryLineker
15,YICETOR,18,GaryLineker
16,kick_and_reboot,13,GaryLineker
17,eberlmat,17,GaryLineker
18,basshunt,1,GaryLineker
19,GabbyLogan,4,GaryLineker
20,eleanortiernan,3,GaryLineker
