,Poster,Likes_count,Liker
0,SupriyaSehgal_3,14,HarvardBiz
1,bayareavenus,16,HarvardBiz
2,samlikessnacks,26,HarvardBiz
3,richardbranson,19,HarvardBiz
4,NYUHistory,11,HarvardBiz
5,JenniferLudden,15,HarvardBiz
6,nancyduarte,13,HarvardBiz
7,CompetitionProf,32,HarvardBiz
8,JoanCWilliams,13,HarvardBiz
9,skgreen,13,HarvardBiz
10,Timothy_Hughes,11,HarvardBiz
11,dorieclark,40,HarvardBiz
12,BarackObama,19,HarvardBiz
13,CBSThisMorning,27,HarvardBiz
14,Tim_Org,8,HarvardBiz
15,MSFT_Business,22,HarvardBiz
16,HBPCorpLearning,21,HarvardBiz
17,DavidCGarrison,20,HarvardBiz
18,ehellweg,30,HarvardBiz
