,Poster,Likes_count,Liker
0,LouiseMensch,30,ITSenior
1,swardley,58,ITSenior
2,bruceanderson,48,ITSenior
3,Kasparov63,107,ITSenior
4,JaysonElliot,14,ITSenior
5,SenSincmurr,83,ITSenior
6,yashar,3,ITSenior
7,paulkrugman,45,ITSenior
8,sandboxpete,3,ITSenior
9,SoSofieFatale,4,ITSenior
10,JuliaCya,2,ITSenior
11,brttrx,43,ITSenior
12,acampbell99,1,ITSenior
13,NicholasLFuller,58,ITSenior
14,PiaGuerra,35,ITSenior
15,maddow,1,ITSenior
16,tylerwhat16,5,ITSenior
17,DDame,52,ITSenior
18,DrKateMarvel,4,ITSenior
19,robertbenzie,1,ITSenior
20,tribelaw,32,ITSenior
21,john_sipher,20,ITSenior
22,NathanLerner,30,ITSenior
23,AP,2,ITSenior
24,JoeCarusoGuitar,52,ITSenior
25,TorontoStar,4,ITSenior
26,JadyJacobson,3,ITSenior
27,HoarseWisperer,4,ITSenior
28,EmmaKennedy,48,ITSenior
29,bakevin,5,ITSenior
30,asthehosptuRNs,15,ITSenior
