,Poster,Likes_count,Liker
0,bnkwupt,4,Insurmountabl1
1,stephenpallotta,3,Insurmountabl1
2,davidtayar5,4,Insurmountabl1
3,tesla_truth,11,Insurmountabl1
4,TIME,5,Insurmountabl1
5,SteveHamel16,2,Insurmountabl1
6,_jameshatfield_,3,Insurmountabl1
7,konrad_bilinski,14,Insurmountabl1
8,NuovaRealta,4,Insurmountabl1
9,diggydoy2,19,Insurmountabl1
10,OmarSAlolama,4,Insurmountabl1
11,teslaownersSV,2,Insurmountabl1
12,gwestr,11,Insurmountabl1
13,MichaelEMann,5,Insurmountabl1
14,m_xalher,5,Insurmountabl1
15,Lizzynpink,4,Insurmountabl1
16,InvestorDeck,4,Insurmountabl1
17,AMAZlNGNATURE,1,Insurmountabl1
18,bonnienorman,23,Insurmountabl1
19,ellec_uk,42,Insurmountabl1
20,Tesla,3,Insurmountabl1
21,tesla_lion,7,Insurmountabl1
22,fatropea,4,Insurmountabl1
23,auto_cynical,3,Insurmountabl1
24,TeslaOpinion,9,Insurmountabl1
25,ClaudioSaleta,1,Insurmountabl1
26,MollySmithNews,1,Insurmountabl1
27,cyber_wolf35,3,Insurmountabl1
28,charge_daily,5,Insurmountabl1
29,rocketisfine,1,Insurmountabl1
30,thenewc0l0mb0,3,Insurmountabl1
31,AlterViggo,12,Insurmountabl1
32,Starlight_Energ,13,Insurmountabl1
33,GerberKawasaki,11,Insurmountabl1
34,CathieDWood,1,Insurmountabl1
35,EdKrassen,2,Insurmountabl1
36,sunkist111,4,Insurmountabl1
37,TeslaModel3ATL,4,Insurmountabl1
38,BullTesla,2,Insurmountabl1
39,TheHoff525,1,Insurmountabl1
40,HyperChangeTV,2,Insurmountabl1
41,florindoc2003,2,Insurmountabl1
42,tommolog,3,Insurmountabl1
43,ValueAnalyst1,15,Insurmountabl1
44,thejefflutz,2,Insurmountabl1
45,3Tesla1,5,Insurmountabl1
46,politvidchannel,15,Insurmountabl1
47,option_snipper,1,Insurmountabl1
48,elonmusk,9,Insurmountabl1
49,chris_stearns,17,Insurmountabl1
50,CNBCFastMoney,5,Insurmountabl1
51,ReflexFunds,10,Insurmountabl1
