,Poster,Likes_count,Liker
0,Koen_Hendrix,13,ItsDiarmaid
1,MeanMisterKien,42,ItsDiarmaid
2,MattiasLehman,20,ItsDiarmaid
3,Hilweisenborn,24,ItsDiarmaid
4,everyplace,29,ItsDiarmaid
5,Petey5K,26,ItsDiarmaid
6,thejanellemj,18,ItsDiarmaid
7,aryeila,28,ItsDiarmaid
8,ArthurHewitt,17,ItsDiarmaid
9,k8em0,2,ItsDiarmaid
10,peter0shea,20,ItsDiarmaid
11,PhillipCostigan,19,ItsDiarmaid
12,jnewsies,6,ItsDiarmaid
13,codinghorror,22,ItsDiarmaid
14,Jhaddix,15,ItsDiarmaid
15,skylatron,12,ItsDiarmaid
16,davidrook,38,ItsDiarmaid
17,sokareemie,17,ItsDiarmaid
