,Poster,Likes_count,Liker
0,davidacohenmd,23,JLaudadioMD
1,DILIprof,5,JLaudadioMD
2,virchow,4,JLaudadioMD
3,Giants,45,JLaudadioMD
4,MihaiTrofenciuc,5,JLaudadioMD
5,WakeFB,21,JLaudadioMD
6,ErikaPetersenMD,26,JLaudadioMD
7,CBHergott,19,JLaudadioMD
8,drrohansamant,3,JLaudadioMD
9,Tom_J_Giordano,18,JLaudadioMD
10,PPatilMD,31,JLaudadioMD
11,grierdd,25,JLaudadioMD
12,DrFNA,16,JLaudadioMD
13,jayvanbavel,22,JLaudadioMD
14,kmirza,14,JLaudadioMD
15,KCampbellMD,16,JLaudadioMD
16,500WIM,8,JLaudadioMD
17,CAPFndn,13,JLaudadioMD
18,najarian_pathmd,3,JLaudadioMD
19,PatGodbeyMD,16,JLaudadioMD
20,DrSMBean,25,JLaudadioMD
21,DrMMurphy,11,JLaudadioMD
22,olytic,9,JLaudadioMD
23,HeadandNeckPath,5,JLaudadioMD
