,Poster,Likes_count,Liker
0,Guay_JG,17,JMPyper
1,shaylekann,17,JMPyper
2,amarchambault,10,JMPyper
3,EnergyDepSec,17,JMPyper
4,greentechmedia,5,JMPyper
5,cmclymer,14,JMPyper
6,Sustainable2050,8,JMPyper
7,BenWolkon,6,JMPyper
8,SolarInMASS,39,JMPyper
9,ecoStu_,9,JMPyper
10,gracehood,1,JMPyper
11,Energy_Rich,1,JMPyper
12,BeCurieus,5,JMPyper
13,SamEBNHPR,4,JMPyper
14,mims,4,JMPyper
15,robertwakulat,3,JMPyper
16,KushyKush,2,JMPyper
17,KyleCherrick,22,JMPyper
18,BrettSSimon,3,JMPyper
19,ShaneSkelton,4,JMPyper
20,ALTEJim,5,JMPyper
21,WindmillCapMgmt,12,JMPyper
22,electricityROM,1,JMPyper
