,Poster,Likes_count,Liker
0,jaketapper,14,JamilSmith
1,NPR,19,JamilSmith
2,Redistrict,19,JamilSmith
3,ZoeTillman,13,JamilSmith
4,KateNocera,5,JamilSmith
5,ProFootballTalk,4,JamilSmith
6,KevinMKruse,4,JamilSmith
7,AmandaSCGorman,4,JamilSmith
8,ryanjreilly,2,JamilSmith
9,aterkel,5,JamilSmith
10,pbump,1,JamilSmith
11,MikeSilver,5,JamilSmith
12,elizashapiro,1,JamilSmith
13,kashanacauley,3,JamilSmith
14,PhillyDailyNews,4,JamilSmith
15,jbview,4,JamilSmith
16,AdamSerwer,3,JamilSmith
17,jeffgoodell,2,JamilSmith
18,nilofer,5,JamilSmith
19,hayleymoller,3,JamilSmith
20,SJohnsonWPR,5,JamilSmith
21,AriBerman,20,JamilSmith
22,NBCPolitics,1,JamilSmith
23,ava,2,JamilSmith
24,MeredithFrost,2,JamilSmith
25,jemelehill,1,JamilSmith
26,jelani9,1,JamilSmith
27,Ocasio2018,1,JamilSmith
28,dreamhampton,6,JamilSmith
29,AriMelber,4,JamilSmith
30,bradheath,4,JamilSmith
31,jwcglaser,11,JamilSmith
