,Poster,Likes_count,Liker
0,tnmetro,61,KarlFDean
1,miki55515,35,KarlFDean
2,natalie_allison,38,KarlFDean
3,RaviMGupta,42,KarlFDean
4,JRClemmons,59,KarlFDean
5,tpatt356,30,KarlFDean
6,Hana4House,37,KarlFDean
7,PREDSident,55,KarlFDean
8,TEA_teachers,37,KarlFDean
9,craigfitzhugh,31,KarlFDean
10,jwbarker2,72,KarlFDean
11,AquamarineSteph,54,KarlFDean
12,RepAkbari,39,KarlFDean
13,deltaannedavis,102,KarlFDean
14,KarlFDean,33,KarlFDean
15,rtodddickson,28,KarlFDean
16,jasonegly,51,KarlFDean
17,anon4319,53,KarlFDean
