,Poster,Likes_count,Liker
0,pierce,37,Katie_Roof
1,eringriffith,25,Katie_Roof
2,KimBhasin,17,Katie_Roof
3,jeffmason1,5,Katie_Roof
4,bessbell,27,Katie_Roof
5,RMac18,24,Katie_Roof
6,DelRey,14,Katie_Roof
7,heatherkelly,35,Katie_Roof
8,harrymccracken,2,Katie_Roof
9,AlleyWatch,27,Katie_Roof
10,MikeIsaac,34,Katie_Roof
11,alisongriswold,39,Katie_Roof
12,backlon,43,Katie_Roof
13,jonrussell,29,Katie_Roof
14,MattZeitlin,23,Katie_Roof
15,katiebindley,25,Katie_Roof
16,chudson,26,Katie_Roof
17,cjane87,15,Katie_Roof
18,levie,28,Katie_Roof
19,sallyshin,9,Katie_Roof
20,ylanmui,42,Katie_Roof
21,levynews,13,Katie_Roof
22,nickabouzeid,29,Katie_Roof
23,chrissyfarr,13,Katie_Roof
24,alexeheath,43,Katie_Roof
25,gsands,16,Katie_Roof
26,murraymatt,15,Katie_Roof
27,ashleymayer,51,Katie_Roof
28,hunterwalk,48,Katie_Roof
29,tomiogeron,3,Katie_Roof
30,zoeSaintBernard,16,Katie_Roof
31,eliotwb,3,Katie_Roof
32,jasonlk,29,Katie_Roof
33,NatSandman,20,Katie_Roof
34,ychernova,11,Katie_Roof
35,SELFmagazine,18,Katie_Roof
36,NateSilver538,25,Katie_Roof
37,MeCookieMonster,9,Katie_Roof
38,zachheltzel,24,Katie_Roof
39,lpolgreen,16,Katie_Roof
40,Jer_Diamond,23,Katie_Roof
