,Poster,Likes_count,Liker
0,KatsKitties,8,LarsTheWanderer
1,LoriKFenton,8,LarsTheWanderer
2,War_Kittens,63,LarsTheWanderer
3,lukedones,6,LarsTheWanderer
4,PhilMoscovitch,2,LarsTheWanderer
5,GrantBrisbee,5,LarsTheWanderer
6,tedlieu,2,LarsTheWanderer
7,sondy,2,LarsTheWanderer
8,esa,5,LarsTheWanderer
9,ObservatoryCats,2,LarsTheWanderer
10,xrayanneiowa,2,LarsTheWanderer
11,Ed650b,1,LarsTheWanderer
12,JohnnieDisaster,1,LarsTheWanderer
13,aetiology,4,LarsTheWanderer
14,farhip,3,LarsTheWanderer
15,OSIRISREx,4,LarsTheWanderer
16,asteroid_rates,3,LarsTheWanderer
17,liesandperfidy,3,LarsTheWanderer
18,sleandres,3,LarsTheWanderer
19,CourtneySF,9,LarsTheWanderer
20,NWS_NTWC,3,LarsTheWanderer
21,asrivkin,1,LarsTheWanderer
22,SQLPi,5,LarsTheWanderer
23,omcintyre,5,LarsTheWanderer
24,AscendingNode,18,LarsTheWanderer
25,womanastronomer,5,LarsTheWanderer
26,SpaceX,4,LarsTheWanderer
27,Ryan_B_Anderson,1,LarsTheWanderer
28,poseygalore,5,LarsTheWanderer
29,SpaceflightNow,1,LarsTheWanderer
30,PlanetDr,4,LarsTheWanderer
31,PlanetaryKeri,3,LarsTheWanderer
32,mikeseibert,4,LarsTheWanderer
33,kevinmgill,2,LarsTheWanderer
34,CrystalPepsi,4,LarsTheWanderer
35,SeanGothman,4,LarsTheWanderer
36,TheDandyWarhols,12,LarsTheWanderer
37,keithlaw,4,LarsTheWanderer
38,GoofusMcP,2,LarsTheWanderer
39,KSpaceAcademy,4,LarsTheWanderer
40,shanlizziesull,4,LarsTheWanderer
41,SciGuySpace,2,LarsTheWanderer
42,BrewCityChaser,3,LarsTheWanderer
43,slpng_giants,3,LarsTheWanderer
